run_number,prompt_num,clean,corrupted,restored_token,restored
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",8,"[(' a', 1.205030730488943e-05), (' a', 9.550734830554575e-05), (' a', 0.00013578555081039667), (' a', 3.026028753083665e-05), (' a', 7.86460586823523e-05), (' a', 6.406286411220208e-05), (' a', 4.5273285650182515e-05), (' a', 2.8658356313826516e-05), (' a', 7.190731139417039e-06), (' a', 4.0039791201706976e-05), (' a', 1.7014532204484567e-05), (' a', 1.201687064167345e-05), (' a', 2.49390927820059e-06), (' a', 2.4789364033495076e-05), (' a', 2.2469714167527854e-05), (' a', 1.2357037121546455e-05), (' a', 5.4504434956470504e-06), (' a', 1.8118840671377257e-05), (' a', 7.041636854410172e-05), (' a', 1.7130631022155285e-05), (' a', 2.6200523279840127e-05), (' a', 5.4327399993781e-05), (' a', 2.4914346795412712e-05), (' a', 1.1578632438613568e-05)]"
3,13,"(' Korean', 0.4200076460838318)","(' a', 7.200636173365638e-05)",1,"[(' a', 0.0004675593227148056), (' a', 0.0008815257460810244), (' a', 0.00019541781512089074), (' a', 0.0006493359687738121), (' a', 0.0002559708373155445), (' a', 0.00021176255540922284), (' a', 0.00018220471974927932), (' a', 0.0006003560847602785), (' a', 0.0001396901934640482), (' a', 0.000712849257979542), (' a', 0.00020556191157083958), (' a', 5.0625490985112265e-05), (' a', 0.00024506746558472514), (' a', 0.00033438295940868556), (' a', 0.0005158865824341774), (' a', 0.0002827795105986297), (' a', 0.00033522784360684454), (' a', 8.542821888113394e-05), (' a', 0.0010340353474020958), (' a', 0.00038520529051311314), (' a', 0.0001884090161183849), (' a', 0.000651902228128165), (' a', 0.00024732272140681744), (' a', 0.0005950795602984726)]"
3,13,"(' Korean', 0.4200076460838318)","(' a', 7.200636173365638e-05)",2,"[(' a', 0.00981680117547512), (' a', 0.000800274487119168), (' a', 0.0014225338818505406), (' a', 0.001704585156403482), (' a', 0.000900302198715508), (' a', 0.009468765929341316), (' a', 0.005051642190665007), (' a', 0.005507167428731918), (' a', 0.014693479053676128), (' a', 0.0016131690936163068), (' is', 0.00040341512067243457), (' a', 0.002140167634934187), (' a', 0.008397519588470459), (' a', 0.0051370104774832726), (' a', 0.0006653941236436367), (' a', 0.01889842003583908), (' a', 0.001132104080170393), (' a', 0.0004769692604895681), (' a', 0.0005112404469400644), (' a', 4.62366224383004e-05), (' a', 0.0033761949744075537), (' a', 0.0004055089084431529), (' a', 0.0017823873786255717), (' a', 0.000651936512440443)]"
3,13,"(' Korean', 0.4200076460838318)","(' a', 7.200636173365638e-05)",3,"[(' a', 0.000535213272087276), (' a', 0.0005359905189834535), (' a', 0.00023272908583749086), (' a', 0.0002119575219694525), (' a', 0.00045122276060283184), (' a', 0.0008425333071500063), (' a', 0.0007463546935468912), (' a', 0.014641808345913887), (' a', 0.0015930264489725232), (' a', 0.000548223324585706), (' a', 0.0012821565615013242), (' a', 0.006198010873049498), (' a', 8.067335147643462e-05), (' a', 0.0021038937848061323), (' a', 0.0009959412273019552), (' a', 0.0009315745555795729), (' a', 0.000909804948605597), (' a', 0.0003378403780516237), (' a', 6.419608689611778e-05), (' a', 0.0006734830676577985), (' a', 9.710117592476308e-05), (' a', 0.00013846509682480246), (' a', 0.0013930433196946979), (' a', 6.196184403961524e-05)]"
3,13,"(' Korean', 0.4200076460838318)","(' a', 7.200636173365638e-05)",4,"[(' a', 0.0013117211638018489), (' a', 0.0002776462060865015), (' a', 0.0005647000507451594), (' a', 0.00029013995663262904), (' a', 0.0005257518496364355), (' a', 0.0005445244605652988), (' a', 9.030231012729928e-05), (' a', 7.664567965548486e-05), (' a', 0.00017532666970510036), (' a', 0.023197028785943985), (' a', 0.0006854512612335384), (' a', 0.0001262249134015292), (' a', 2.582627894298639e-05), (' a', 0.00037309020990505815), (' a', 0.00042026216397061944), (' a', 0.0008292014827020466), (' a', 0.0003226630506105721), (' a', 0.0004166745347902179), (' a', 0.0005634704721160233), (' a', 7.609780732309446e-05), (' a', 0.00012571399565786123), (' a', 0.0006161851924844086), (' a', 0.00012927809439133853), (' a', 0.0004347129724919796)]"
3,13,"(' Korean', 0.4200076460838318)","(' a', 7.200636173365638e-05)",5,"[(' a', 0.0006493065156973898), (' a', 0.008750218898057938), (' a', 5.989294731989503e-05), (' a', 0.0009583028731867671), (' a', 0.0005184533656574786), (' a', 0.000139949974254705), (' a', 0.0003820619313046336), (' a', 0.0005351596628315747), (' a', 0.001398324384354055), (' a', 0.00044905251706950366), (' a', 0.00012552797852549702), (' a', 0.0015597963938489556), (' a', 6.727835716446862e-05), (' a', 0.00021535769337788224), (' a', 8.405912376474589e-05), (' a', 8.772518776822835e-05), (' a', 0.0016876874724403024), (' a', 0.0001461120555177331), (' a', 5.5639262427575886e-05), (' a', 0.00019689676992129534), (' a', 0.00032312431721948087), (' a', 3.370070771779865e-05), (' a', 0.006495573557913303), (' a', 0.0001618596725165844)]"
3,13,"(' Korean', 0.4200076460838318)","(' a', 7.200636173365638e-05)",6,"[(' a', 0.0007994500920176506), (' a', 0.0003348382015246898), (' a', 0.0007676425739191473), (' a', 0.008046595379710197), (' a', 0.000637878431007266), (' a', 0.0005397558561526239), (' a', 0.0004737549170386046), (' a', 0.00044432407594285905), (' a', 0.0009095311397686601), (' a', 0.0012023141607642174), (' a', 0.0009443291346542537), (' a', 0.0006084775668568909), (' a', 0.0005428907461464405), (' a', 0.0008603129535913467), (' a', 0.0004696967371273786), (' a', 0.002014695666730404), (' a', 0.00039729970740154386), (' a', 0.0004548586148303002), (' a', 0.005670405458658934), (' a', 0.0007088543497957289), (' a', 0.00010328924690838903), (' a', 0.0005429443554021418), (' a', 0.0008726398227736354), (' a', 0.00014806853141635656)]"
4,34,"(' Russian', 0.2754397690296173)","(' that', 0.0004400366742629558)",1,"[(' a', 2.4124634364852682e-05), (' 0', 0.0009408513433299959), (' a', 0.0008590742363594472), (' a', 0.00011575563985388726), (' a', 0.0002948851906694472), (' a', 0.00036043813452124596), (' a', 0.002173450542613864), (' the', 2.133745510946028e-05), (' a', 0.0014787642285227776), (' a', 0.0007815856370143592), (' a', 0.00011380310752429068), (' a', 0.0013574715703725815), (' a', 0.000687313498929143), (' the', 0.00029544520657509565), (' a', 0.00017695191490929574), (' a', 0.00022411601094063371), (' a', 0.00011763851216528565), (' a', 0.0005484450957737863), (' a', 0.0002612816169857979), (' a', 0.0002445454301778227), (' the', 0.00029562131385318935), (' a', 4.293247184250504e-05), (' a', 0.0002929608162958175), (' a', 6.682334787910804e-05)]"
4,34,"(' Russian', 0.2754397690296173)","(' that', 0.0004400366742629558)",2,"[(' the', 0.0010205365251749754), (' a', 0.006372739095240831), (' a', 0.0031956201419234276), (' a', 0.0030862828716635704), (' a', 0.004581213928759098), (' a', 0.052873510867357254), (' a', 0.006745090242475271), (' a', 0.0313151553273201), (' a', 0.01756672002375126), (' the', 0.03837710991501808), (' the', 0.0005610231892205775), (' a', 2.923514875874389e-05), (' a', 0.019441397860646248), (' the', 0.0021591205149888992), (' the', 0.0015354921342805028), (' a', 0.0021898390259593725), (' the', 0.0002395874762441963), (' a', 0.0006062060128897429), (' the', 0.0017523749265819788), (' a', 0.0016457829624414444), (' a', 0.0001519318320788443), (' that', 0.000343822204740718), (' a', 1.8813485439750366e-05), (' that', 0.00024304675753228366)]"
4,34,"(' Russian', 0.2754397690296173)","(' that', 0.0004400366742629558)",3,"[(' the', 0.0005499656544998288), (' a', 0.0004616460937540978), (' a', 0.00039904520963318646), (' ""', 0.017970751971006393), (' the', 0.00037265426362864673), (' the', 0.007994062267243862), (':', 0.0006893483805470169), (' a', 0.0007271741633303463), (' the', 0.010911455377936363), (' a', 0.0012569603277370334), (' the', 0.0016502693761140108), (' a', 0.0024612697307020426), (' a', 0.0005159263382665813), (' the', 0.0010880551999434829), (' the', 0.0006225610850378871), (' that', 5.608121500699781e-05), (' a', 0.0007080765208229423), (' that', 0.0002104579034494236), (' a', 0.00010785880294861272), (' that', 0.00019123475067317486), (' a', 5.05968346260488e-05), (' a', 0.0014103781431913376), (' a', 0.0006070423405617476), (' a', 7.185123104136437e-05)]"
4,34,"(' Russian', 0.2754397690296173)","(' that', 0.0004400366742629558)",4,"[(' a', 7.534769974881783e-05), (' a', 0.00031172155286185443), (' a', 0.0004308264178689569), (' a', 0.00016862059419509023), (' a', 0.000293926423182711), (' a', 0.00013224827125668526), (' a', 0.00042889040196314454), (' a', 0.00018514088878873736), (' a', 0.0006368737085722387), (' that', 0.00022758050181437284), (' hereby', 1.1671616448438726e-05), (' a', 0.0006588781252503395), (' a', 5.4984142479952425e-05), (' a', 2.8641838071052916e-05), (' a', 1.4764526895305607e-05), (' a', 0.00019854890706483275), (' a', 0.00011864145199069753), (' a', 9.749202581588179e-05), (' the', 0.00033625008654780686), (' a', 1.2061461347911973e-05), (' a', 0.00016020587645471096), (' a', 0.0005408594734035432), (' a', 0.0006544736097566783), (' a', 0.00010834455315489322)]"
4,34,"(' Russian', 0.2754397690296173)","(' that', 0.0004400366742629558)",5,"[(' a', 0.0005787090049125254), (' a', 0.0001527716958662495), (' a', 9.754559141583741e-05), (' a', 0.000337686826242134), (' a', 9.517427679384127e-05), (' a', 0.00043006078340113163), (' a', 6.146323721623048e-05), (':', 0.00583583302795887), (' that', 0.00031721810228191316), (' the', 0.000759500137064606), (' a', 0.0002777745248749852), (' a', 9.65503859333694e-05), (' a', 0.0021894194651395082), (' a', 8.699996396899223e-05), (' a', 3.461894448264502e-05), (' a', 3.621706855483353e-05), (' 1', 0.0002475003420840949), (' a', 7.159466622397304e-05), (' a', 0.00010626205039443448), (' a', 0.0007222012500278652), (' the', 0.0002289562689838931), (' the', 0.00023151097411755472), (' a', 0.000774732674472034), (' the', 0.00023853180755395442)]"
4,34,"(' Russian', 0.2754397690296173)","(' that', 0.0004400366742629558)",6,"[(' a', 0.00011550898489076644), (' a', 0.0005017468356527388), (' a', 0.0002209217200288549), (' a', 0.0004313511017244309), (' a', 3.346437370055355e-05), (' that', 0.0009402114083059132), (' a', 0.00014592571824323386), (' a', 0.00017632321396376938), (' a', 0.0001409479446010664), (' a', 0.0013405326753854752), (' a', 3.7271172914188355e-05), (' a', 0.00014670130622107536), (' a', 0.00019607333524618298), (' a', 0.0015136097790673375), (' a', 0.00014791678404435515), (' a', 0.00024911481887102127), (' that', 0.00043385467142798007), (' a', 0.0008651641546748579), (' a', 3.3130367228295654e-05), (' a', 9.740224049892277e-05), (' a', 0.0003581551427487284), (' a', 4.327679198468104e-05), (' a', 2.765185126918368e-05), (' a', 6.676546763628721e-05)]"
5,48,"(' French', 0.5052525401115417)","(' a', 0.0013357640709728003)",1,"[(' a', 0.003143841866403818), (' said', 0.00016908603720366955), (' a', 0.0006791660562157631), (' a', 0.0013093891320750117), (' a', 0.00026697220164351165), (' a', 0.0007037019240669906), (' a', 0.0019456876907497644), (' a', 0.0001772513787727803), (' a', 0.0005783785018138587), (' a', 0.0008557615801692009), (' a', 0.0007613679044879973), (' a', 0.0005386918783187866), (' a', 0.000255186838330701), (' a', 0.0002949049521703273), (' a', 0.0006231158622540534), (' a', 0.0008170478977262974), (' a', 0.0003094846906606108), (' a', 0.0017189561622217298), (' a', 0.0006170836859382689), (' a', 0.0003156745224259794), (' a', 0.000391288660466671), (' a', 0.0002895381476264447), (' a', 0.00020926723664160818), (' a', 0.0002451857435517013)]"
5,48,"(' French', 0.5052525401115417)","(' a', 0.0013357640709728003)",2,"[(' a', 0.0026021257508546114), (' a', 0.0001817428128561005), (' the', 0.08018425852060318), (' French', 0.16290797293186188), (' French', 0.4040921926498413), (' French', 0.3805350363254547), (' French', 0.38582780957221985), (' French', 0.42491546273231506), (' a', 0.023113111034035683), (' a', 0.014353337697684765), (' French', 0.13762079179286957), (' the', 0.028314828872680664), (' a', 0.01721009984612465), (' a', 0.04603208601474762), (' a', 0.008458337746560574), (' a', 0.0009471379453316331), (' a', 0.0011386042460799217), (' a', 0.0004139710508752614), (' a', 0.0017664378974586725), (' a', 0.0012514084810391068), (' a', 0.0003729611053131521), (' a', 5.921330739511177e-05), (' a', 0.000119474992970936), (' a', 0.0005966396420262754)]"
6,50,"(' Finland', 0.4553720951080322)","(' the', 0.00013198322267271578)",0,"[(' the', 0.0002218517620349303), (' the', 3.048195685551036e-05), (' the', 0.000166589132277295), (' a', 5.1507531679817475e-06), (' the', 8.264416101155803e-05), (' the', 0.00028521064086817205), (' the', 0.0005565067403949797), (' the', 0.0008216733112931252), (' the', 2.422725629003253e-06), (' the', 0.00018607282254379243), (' the', 5.49583783140406e-05), (' the', 0.000177732203155756), (' the', 0.0006934476550668478), (' the', 0.0005114562227390707), (' the', 0.0011996431276202202), (' the', 0.000270154676400125), (' the', 0.0006276462227106094), (' the', 0.0004146484425291419), (' the', 7.489810377592221e-05), (' the', 6.164548540255055e-05), (' the', 0.0007418951136060059), (' the', 0.0006273569306358695), (' the', 7.805804489180446e-05), (' the', 0.0003554069553501904)]"
6,50,"(' Finland', 0.4553720951080322)","(' the', 0.00013198322267271578)",1,"[(' the', 0.00044653433724306524), (' the', 0.0004938985803164542), (' the', 0.0010653829667717218), (' the', 6.840229616500437e-05), (' the', 0.001094543025828898), (' the', 0.00032219578861258924), (' the', 0.000671506451908499), (' the', 0.0006162864156067371), (' the', 0.00020020274678245187), (' the', 0.0004292148514650762), (' the', 0.0005402321112342179), (' the', 0.00044038923806510866), (' the', 0.00014826341066509485), (' the', 0.00023442794918082654), (' the', 0.00039297627517953515), (' the', 0.0003130881814286113), (' the', 4.2084026063093916e-05), (' the', 0.00042542166193015873), (' the', 0.0006440430879592896), (' the', 7.963339885463938e-05), (' the', 5.2619365305872634e-05), (' the', 7.287575135705993e-05), (' the', 0.00013029490946792066), (' the', 0.0008306520758196712)]"
6,50,"(' Finland', 0.4553720951080322)","(' the', 0.00013198322267271578)",2,"[(' the', 0.001826546504162252), (' the', 0.0015682171797379851), (' the', 0.0003299402305856347), (' the', 5.622054231935181e-05), (' the', 3.1362455047201365e-05), (' the', 0.00011125115997856483), (' the', 0.0002100383280776441), (' the', 0.0002954107476398349), (' the', 5.366188634070568e-05), (' the', 0.0009559387108311057), (' the', 0.00040172762237489223), (' the', 0.0022168399300426245), (' the', 0.0001624626893317327), (' the', 0.004546004347503185), (' the', 0.0031955325976014137), (' a', 1.4271097370510688e-06), (' the', 7.945547622512095e-06), (' the', 0.0003288394946139306), (' a', 0.00010161808313569054), (' the', 0.0006817127577960491), (' the', 0.00026390410494059324), (' the', 4.8281075578415766e-05), (' the', 0.000729320221580565), (' the', 0.0003221442166250199)]"
6,50,"(' Finland', 0.4553720951080322)","(' the', 0.00013198322267271578)",3,"[(' the', 0.000604761706199497), (' the', 9.723834227770567e-05), (' the', 3.1744344596518204e-05), (' the', 0.002286551520228386), (' the', 2.908776150434278e-05), (' the', 0.0009662533993832767), (' the', 0.0003520972968544811), (' the', 0.0003535400319378823), (' the', 0.00018869581981562078), (' the', 0.00043580622877925634), (' the', 0.0005308929248712957), (' the', 0.00023894924379419535), (' the', 0.00015997821174096316), (' the', 0.0006791201885789633), (' the', 0.0008249955717474222), (' the', 0.00032171132625080645), (' the', 0.0002597318380139768), (' the', 4.596018334268592e-05), (' the', 0.0006975728902034461), (' the', 9.104180207941681e-05), (' the', 6.511050014523789e-05), (' the', 3.321688564028591e-05), (' the', 0.00013355740520637482), (' the', 0.00030036098905839026)]"
6,50,"(' Finland', 0.4553720951080322)","(' the', 0.00013198322267271578)",4,"[(' the', 0.00046312331687659025), (' the', 0.0022182317916303873), (' the', 0.0004814145795535296), (' the', 0.0007849690155126154), (' the', 0.009220181964337826), (' the', 0.028908131644129753), (' the', 0.015603994950652122), (' the', 0.0004896149039268494), (' the', 0.007077001500874758), (' the', 0.017213691025972366), (' the', 0.047914888709783554), (' the', 0.018795371055603027), (' the', 0.07835069298744202), (' the', 0.2799002230167389), (' Finland', 0.38204890489578247), (' the', 0.09320920705795288), (' the', 0.008452597074210644), (' the', 0.00034567108377814293), (' the', 0.0822797566652298), (' the', 0.011623875238001347), (' the', 0.01778164505958557), (' the', 0.0002769034181255847), (' the', 7.960717630339786e-05), (' the', 0.00035824059159494936)]"
7,51,"(' Toyota', 0.22835275530815125)","(' the', 0.0006907501956447959)",0,"[(' the', 0.008093532174825668), (' the', 4.4545147829921916e-05), (' the', 7.515001925639808e-05), (' the', 3.201887375325896e-05), (' the', 1.3917224350734614e-05), (' the', 8.185735350707546e-05), (' the', 0.00013327070337254554), (' the', 0.0004983829567208886), (' the', 0.0002074051444651559), (' the', 7.04813573975116e-05), (' the', 0.00018575599824544042), (' the', 0.0026983791030943394), (' the', 0.00020447905990295112), (' the', 0.00013441524060908705), (' the', 0.0001011978747555986), (' the', 9.256056364392862e-05), (' the', 0.00021896028192713857), (' the', 0.0003643422096502036), (' the', 0.00013788171054329723), (' the', 0.00023541718837805092), (' the', 0.00026706125936470926), (' the', 5.287434032652527e-05), (' the', 8.751542918616906e-05), (' the', 1.429665007890435e-05)]"
7,51,"(' Toyota', 0.22835275530815125)","(' the', 0.0006907501956447959)",1,"[(' the', 2.5931709387805313e-05), (' the', 0.059008315205574036), (' the', 0.11523912101984024), (' the', 0.036807868629693985), (' the', 0.07202009111642838), (' the', 0.01371242105960846), (' the', 0.013520285487174988), (' the', 0.023341670632362366), (' the', 0.00036410189932212234), (' the', 0.011541537009179592), (' the', 0.034260887652635574), (' the', 0.05497625097632408), (' the', 0.0853155106306076), (' the', 0.07676658034324646), (' the', 0.012039939872920513), (' the', 0.0034617199562489986), (' the', 0.003065494354814291), (' the', 0.006478667724877596), (' the', 0.006179398391395807), (' the', 0.003994430880993605), (' the', 0.0402182973921299), (' the', 0.0005859032971784472), (' the', 0.0003532088303472847), (' the', 6.92128887749277e-05)]"
7,51,"(' Toyota', 0.22835275530815125)","(' the', 0.0006907501956447959)",2,"[(' the', 0.00023216438421513885), (' the', 0.0004183517303317785), (' the', 0.00031867370125837624), (' the', 0.000308991497149691), (' the', 8.450613677268848e-05), (' the', 0.00010343921894673258), (' the', 0.00020723171473946422), (' the', 0.00040889394585974514), (' the', 0.00046144440420903265), (' the', 0.0003637511399574578), (' the', 0.0003830853383988142), (' the', 0.0003679086803458631), (' the', 0.00025205829297192395), (' the', 0.00036523191374726593), (' the', 0.0007371340179815888), (' the', 0.00018939202709589154), (' the', 0.0005192147218622267), (' the', 0.00016785290790721774), (' the', 0.00100673025008291), (' the', 0.00012454722309485078), (' the', 0.0014032672625035048), (' the', 0.00020018780196551234), (' the', 2.9750866815447807e-05), (' the', 8.442784019280225e-05)]"
